customer_tweet_id,customer_text,brand_text,true_intent,true_escalation,notes
237534,@133311 @Uber_Support,@172557 We've followed up via DM so please check your inbox.,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
1224646,@Uber_Support I just sent you the inbox,@407302 Hey Emmit. We have reached out via in-app support. Please check there for the most accurate information. Let us know if you have questions.,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
1783095,@Uber_Support Can UberSUV take 8 passengers?,@535735 Happy to help provide clarification. Feel free to review this link https://t.co/35cSZRNmFp for additional info regarding seat capacity.,general_inquiry,AUTO_HANDLE,General procedural inquiry or operational clarification.
320402,"@Uber_Support __email__

Phone no.:- 9713034798",@192347 Thanks for following up! A member of our team will be back in touch via in-app support ASAP to assist further. We appreciate your patience.,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
359864,@Uber_Support Done. 👍🏻,@125184 We've been in touch via DM. Please keep an eye out for our response.,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
1303942,@Uber_Support No reply yet,"@424696 Here to assist, Samir! Please DM us the email address associated with your account to look further into this.",other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
374153,@Uber_Support I don't know what DMs are,@204703 We've followed up via DM!,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
2420389,@Uber_Support  https://t.co/7jJQKFs8Ep,@695285 We're so sorry you didn’t get your free Original Glazed Dozen box. Demand was through the roof and stocks ran out. Stay tuned for more fun promotions soon!,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
2498518,Check your DMs please @Uber_Support,@119143 We have responded to your DM please follow up there.,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
19633,@Uber_Support Please help,"@536901 We appreciate your patience, Shoshanna. A member of our team has reached out via email support with an update.",other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
2217451,@Uber_Support I did ✊🏽,@647844 Hello there! Send us a DM with your email address so we can assist.,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
414039,@Uber_Support DM'd,"@213801 Hi, Victor. We see your DM and will follow up there shortly.",other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
1331308,"@Uber_Support SENT, thank you in advance!",@430580 We've sent you a DM.,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
821258,@Uber_Support Starving please respond to me,@315617 We see your DM and will be in touch shortly.,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
639856,@Uber_Support I'm sending it in a DM.,@271773 Hi there! It seems a member of our team has reached out to you. Please check your email and follow up with them there. Thanks!,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
1257819,@Uber_Support Hi - can’t see an email from you...,"@414744 You used a different e-mail than the one you gave us. Our message is also in the app's Help section. Tap on ""View Archive,"" if necessary.",other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
2408637,@Uber_Support Im sorry too... Can't reorder :(,@692604 We're so sorry you didn’t get your free Original Glazed Dozen box. Demand was through the roof and stocks ran out. Stay tuned for more fun promotions soon!,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
1871081,@Uber_Support Waiting for a reply...,@558788 We've been in touch via DM!,ride_cancellation_delay,AUTO_HANDLE,Dispute regarding driver cancellation or prolonged wait.
1498098,@Uber_Support still not helped,"@372475 We've requested some further details within your Direct Messages, Victoria!",other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
125825,@Uber_Support I just sent you guys a DM,@144237 Sorry to hear about the trouble. Send us a DM with your email address so we can follow up.,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
969318,@Uber_Support Submitted,@350083 We've located your support request. A member of our team will follow up with you shortly. Thank you for your patience.,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
154543,@Uber_Support I m still waiting for your dm,"@151418 We see your support inquiries, Lohit. A member of our team will be in touch shortly via in-app support. Your patience is appreciated - all inquires are worked in order received. We apologize for any inconvenience this may cause.",ride_cancellation_delay,AUTO_HANDLE,Dispute regarding driver cancellation or prolonged wait.
1623461,@Uber_Support useless piece of shit,@497301 We're here to help! Send us a DM with your email address so we can connect.,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
2584454,@Uber_Support Thanks! Is it available in Chicago?,"@732369 Thanks for reaching back out to us about this. However, at this time its not an option for that city at this time. We do apologize for any inconvenience this may cause. Let us know if you need anything else.",other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
2191448,"@Uber_Support hello,
my account is disabled why ?","@641461 We can take a look, Sara. Contact us via https://t.co/Md7v036OoC so we can assist.",other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
597284,@Uber_Support Thanks I've done that!,@261614 We've been in touch via DM!,other_unroutable,ESCALATE,"Follow-up message, missing context, or unroutable dialogue snippet."
